id_director,first_name,last_name,name
1,John,Lasseter,John Lasseter
2,Forest,Whitaker,Forest Whitaker
3,,2,
4,Peter,Hewitt,Peter Hewitt
5,Martin,Campbell,Martin Campbell
6,Tim,Nelson,Tim Blake Nelson
7,Yimou,Zhang,Yimou Zhang
8,Tim,Robbins,Tim Robbins
9,Andy,Tennant,Andy Tennant
10,Michael,Hoffman,Michael Hoffman
11,Paul,Anderson,Paul W.S. Anderson
12,Mike,Gabriel,Mike Gabriel
13,Eric,Goldberg,Eric Goldberg
14,Richard,Munchkin,Richard W. Munchkin
15,Jodie,Foster,Jodie Foster
16,Pete,Walker,Pete Walker
17,Francesco,Cinquemani,Francesco Cinquemani
18,George,Gallo,George Gallo
19,Jason,Bloom,Jason Bloom
20,Jesse,Dylan,Jesse Dylan
21,Henry,Jaglom,Henry Jaglom
22,Jim,Wynorski,Jim Wynorski
23,Nick,Broomfield,Nick Broomfield
24,Brian,Henson,Brian Henson
25,David,Lane,David Lane
26,Martin,Scorsese,Martin Scorsese
27,John,Smith,John N. Smith
28,Luc,Besson,Luc Besson
29,McG,McG,McG
30,Mike,Nichols,Mike Nichols
31,Michael,Bay,Michael Bay
32,Ryan,Koo,Ryan Koo
33,Michael,Moore,Michael Moore
34,Christina,Wayne,Christina Wayne
35,Gregory,Widen,Gregory Widen
36,Roger,Donaldson,Roger Donaldson
37,Martha,Coolidge,Martha Coolidge
38,Beeban,Kidron,Beeban Kidron
39,Walter,Hill,Walter Hill
40,Jack,Baran,Jack Baran
41,Ang,Lee,Ang Lee
42,Kevin,Lima,Kevin Lima
43,Art,Clokey,Art Clokey
44,Steven,Brill,Steven Brill
45,William,Friedkin,William Friedkin
46,Ivan,Reitman,Ivan Reitman
47,Michael,Gottlieb,Michael Gottlieb
48,Edward,Zwick,Edward Zwick
49,Sam,Pillsbury,Sam Pillsbury
50,Stephen,Gyllenhaal,Stephen Gyllenhaal
51,George,Seaton,George Seaton
52,Tyler,Perry,Tyler Perry
53,Tôru,Murakawa,Tôru Murakawa
54,Oliver,Stone,Oliver Stone
55,Wolfgang,Petersen,Wolfgang Petersen
56,Richard,Rich,Richard Rich
57,John,Sayles,John Sayles
58,John,Pasquin,John Pasquin
59,Scott,McGehee,Scott McGehee
60,David,Siegel,David Siegel
61,Akira,Kurosawa,Akira Kurosawa
62,Rachel,Talalay,Rachel Talalay
63,Lasse,Hallström,Lasse Hallström
64,Mina,Shum,Mina Shum
65,Tom,Shadyac,Tom Shadyac
66,Jon,Favreau,Jon Favreau
67,Donald,Petrie,Donald Petrie
68,Wes,Craven,Wes Craven
69,Suri,Krishnamma,Suri Krishnamma
70,Theodore,Thomas,Theodore Thomas
71,Oriol,Paulo,Oriol Paulo
72,Roger,Allers,Roger Allers
73,Jill,Culton,Jill Culton
74,Anthony,Stacchi,Anthony Stacchi
75,Jeff,Pollack,Jeff Pollack
76,Caroline,Thompson,Caroline Thompson
77,John,Whitesell,John Whitesell
78,Marco,Brambilla,Marco Brambilla
79,Luciano,Saber,Luciano Saber
80,Rusty,Cundieff,Rusty Cundieff
81,Barry,Sonnenfeld,Barry Sonnenfeld
82,Simon,Wincer,Simon Wincer
83,Boaz,Yakin,Boaz Yakin
84,Sam,Peckinpah,Sam Peckinpah
85,Kenneth,Branagh,Kenneth Branagh
86,Mike,Leigh,Mike Leigh
87,Richard,Attenborough,Richard Attenborough
88,John,Duigan,John Duigan
89,Phillip,Noyce,Phillip Noyce
90,Henry,Selick,Henry Selick
91,Dennis,Hopper,Dennis Hopper
92,Gurinder,Chadha,Gurinder Chadha
93,Will,Slocombe,Will Slocombe
94,Guy,Ritchie,Guy Ritchie
95,William,Cottrell,William Cottrell
96,David,Hand,David Hand
97,Wilfred,Jackson,Wilfred Jackson
98,Larry,Morey,Larry Morey
99,Perce,Pearce,Perce Pearce
100,Ben,Sharpsteen,Ben Sharpsteen
101,Matteo,Garrone,Matteo Garrone
102,David,Ellis,David R. Ellis
103,Wolfgang,Reitherman,Wolfgang Reitherman
104,André,Téchiné,André Téchiné
105,Mel,Brooks,Mel Brooks
106,Bruno,Barreto,Bruno Barreto
107,Henri-Georges,Clouzot,Henri-Georges Clouzot
108,Pen,Densham,Pen Densham
109,Rob,Cohen,Rob Cohen
110,James,Foley,James Foley
111,Gordon,Willis,Gordon Willis
112,Terry,George,Terry George
113,Ron,Howard,Ron Howard
114,George,Scribner,George Scribner
115,Larry,Cohen,Larry Cohen
116,Fred,Williamson,Fred Williamson
117,Kar-Wai,Wong,Kar-Wai Wong
118,Albert,Hughes,Albert Hughes
119,Allen,Hughes,Allen Hughes
120,Gary,Trousdale,Gary Trousdale
121,Kirk,Wise,Kirk Wise
122,Christopher,Larkin,Christopher Larkin
123,Kevin,Hooks,Kevin Hooks
124,Paul,Glaser,Paul Michael Glaser
125,Hugh,Wilson,Hugh Wilson
126,Annette,Haywood-Carter,Annette Haywood-Carter
127,Harry,Winer,Harry Winer
128,Marcus,DeLeon,Marcus DeLeon
129,Lana,Wachowski,Lana Wachowski
130,Lilly,Wachowski,Lilly Wachowski
131,Arthur,Hiller,Arthur Hiller
132,Steve,Oedekerk,Steve Oedekerk
133,Peter,Hyams,Peter Hyams
134,David,Evans,David Mickey Evans
135,Trevor,Nunn,Trevor Nunn
136,Stanley,Donen,Stanley Donen
137,George,Cukor,George Cukor
138,Billy,Wilder,Billy Wilder
139,William,Wyler,William Wyler
140,Walter,Lang,Walter Lang
141,William,Seiter,William A. Seiter
142,Alfred,Hitchcock,Alfred Hitchcock
143,Gregory,Cava,Gregory La Cava
144,George,Stevens,George Stevens
145,Howard,Hawks,Howard Hawks
146,Frank,Capra,Frank Capra
147,William,Wellman,William A. Wellman
148,John,Cromwell,John Cromwell
149,Busby,Berkeley,Busby Berkeley
150,Henry,Koster,Henry Koster
151,James,Grant,James Edward Grant
152,Howard,Hughes,Howard Hughes
153,Howard,Hawks,Howard Hawks
154,George,Romero,George A. Romero
155,John,Huston,John Huston
156,Richard,Brooks,Richard Brooks
157,Victor,Schertzinger,Victor Schertzinger
158,Frank,Borzage,Frank Borzage
159,Chris,Newby,Chris Newby
160,Drew,Barrymore,Drew Barrymore
161,Matthew,Broderick,Matthew Broderick
162,Campbell,Scott,Campbell Scott
163,Stanley,Tucci,Stanley Tucci
164,Robert,Young,Robert M. Young
165,Norman,Tokar,Norman Tokar
166,Norman,Foster,Norman Foster
167,John,Hough,John Hough
168,Robert,Stevenson,Robert Stevenson
169,Nancy,Meyers,Nancy Meyers
170,David,Swift,David Swift
171,Duwayne,Dunham,Duwayne Dunham
172,Charles,Barton,Charles Barton
173,Richard,Fleischer,Richard Fleischer
174,Jon,Turteltaub,Jon Turteltaub
175,John,Landis,John Landis
176,Wolfgang,Reitherman,Wolfgang Reitherman
177,Clyde,Geronimi,Clyde Geronimi
178,David,Hand,David Hand
179,Tim,Burton,Tim Burton
180,David,Lowery,David Lowery
181,Robert,Stevenson,Robert Stevenson
182,Ward,Kimball,Ward Kimball
183,Ted,Berman,Ted Berman
184,Richard,Rich,Richard Rich
185,Art,Stevens,Art Stevens
186,David,Hand,David Hand
187,Wolfgang,Reitherman,Wolfgang Reitherman
188,Robert,Wise,Robert Wise
189,Steve,Buscemi,Steve Buscemi
190,Doug,Liman,Doug Liman
191,Tad,Stones,Tad Stones
192,Edward,Dmytryk,Edward Dmytryk
193,Mel,Stuart,Mel Stuart
194,Woody,Allen,Woody Allen
195,Terry,Jones,Terry Jones
196,John,Sturges,John Sturges
197,Fred,Zinnemann,Fred Zinnemann
198,Neil,Jordan,Neil Jordan
199,Peter,Cohn,Peter Cohn
200,John,Carpenter,John Carpenter
201,Terry,Gilliam,Terry Gilliam
202,Terry,Jones,Terry Jones
203,Michael,Rhodes,Michael Ray Rhodes
204,Susan,Dryfoos,Susan Warms Dryfoos
205,Alfred,Werker,Alfred L. Werker
206,Anthony,Mann,Anthony Mann
207,John,Irvin,John Irvin
208,Anthony,Mann,Anthony Mann
209,Josef,Rusnak,Josef Rusnak
210,Lou,Adler,Lou Adler
211,Tommy,Chong,Tommy Chong
212,Rob,Reiner,Rob Reiner
213,Steven,Spielberg,Steven Spielberg
214,Sergio,Leone,Sergio Leone
215,Jean-Pierre,Melville,Jean-Pierre Melville
216,Andrei,Tarkovsky,Andrei Tarkovsky
217,Hal,Ashby,Hal Ashby
218,Tom,Stoppard,Tom Stoppard
219,Peter,Jackson,Peter Jackson
220,Harold,Ramis,Harold Ramis
221,Robert,Zemeckis,Robert Zemeckis
222,Katsuhiro,Ôtomo,Katsuhiro Ôtomo
223,Russell,Mulcahy,Russell Mulcahy
224,Jean-Paul,Rappeneau,Jean-Paul Rappeneau
225,James,Algar,James Algar
226,Samuel,Armstrong,Samuel Armstrong
227,Ford,Jr.,Ford Beebe Jr.
228,Norman,Ferguson,Norman Ferguson
229,David,Hand,David Hand
230,Jim,Handley,Jim Handley
231,T.,Hee,T. Hee
232,Wilfred,Jackson,Wilfred Jackson
233,Hamilton,Luske,Hamilton Luske
234,Bill,Roberts,Bill Roberts
235,Paul,Satterfield,Paul Satterfield
236,Ben,Sharpsteen,Ben Sharpsteen
237,Michael,Lehmann,Michael Lehmann
238,Howard,Deutch,Howard Deutch
239,Doug,Pray,Doug Pray
240,Greta,Schiller,Greta Schiller
241,Andrew,Douglas,Andrew Douglas
242,Tom,Berry,Tom Berry
243,Bernard,Rose,Bernard Rose
