id_movie,original_title,title,runtime_x,year,id_money_popularity
1,Toy Story,Toy Story,81.0,1995,1
2,Waiting to Exhale,Waiting to Exhale,127.0,1995,2
3,Sabrina,Sabrina,127.0,2018,3
4,Sabrina,Sabrina,113.0,2018,4
5,Tom and Huck,Tom and Huck,97.0,1995,5
6,GoldenEye,GoldenEye,130.0,1995,6
7,Othello,Othello,123.0,2001,7
8,Othello,Othello,90.0,2001,8
9,Othello,Othello,165.0,2001,9
10,Othello,Othello,204.0,2001,10
11,摇啊摇，摇到外婆桥,Shanghai Triad,108.0,1995,11
12,Dead Man Walking,Dead Man Walking,122.0,1995,12
13,It Takes Two,It Takes Two,101.0,1995,13
14,It Takes Two,It Takes Two,78.0,1995,14
15,Restoration,Restoration,117.0,2011,15
16,Restoration,Restoration,90.0,2011,16
17,Mortal Kombat,Mortal Kombat,101.0,1995,17
18,Pocahontas,Pocahontas,81.0,1995,18
19,Guardian Angel,Guardian Angel,93.0,1994,19
20,Home for the Holidays,Home for the Holidays,103.0,1995,20
21,Home for the Holidays,Home for the Holidays,73.0,1995,21
22,Le confessionnal,The Confessional,100.0,2009,22
23,Eye for an Eye,Eye for an Eye,101.0,2019,23
24,Olho por Olho,Eye for an Eye,20.0,2019,24
25,Bio-Dome,Bio-Dome,88.0,1996,25
26,Kicking and Screaming,Kicking and Screaming,96.0,1995,26
27,Last Summer in the Hamptons,Last Summer in the Hamptons,108.0,1995,27
28,Shopping,Shopping,105.0,1994,28
29,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam,106.0,1995,29
30,Unforgettable,Unforgettable,106.0,1996,30
31,Unforgettable,Unforgettable,100.0,1996,31
32,Muppet Treasure Island,Muppet Treasure Island,100.0,1996,32
33,Taxi Driver,Taxi Driver,114.0,1976,33
34,The Boys of St. Vincent,The Boys of St. Vincent,90.0,1992,34
35,Angela,Angela,99.0,2002,35
36,Target,Target,122.0,2018,36
37,Target,Target,117.0,2018,37
38,Mishen,Target,158.0,2018,38
39,The Birdcage,The Birdcage,117.0,1996,39
40,Bad Boys,Bad Boys,118.0,1995,40
41,Bad Boys,Bad Boys,104.0,1995,41
42,Pahat pojat,Bad Boys,120.0,1995,42
43,Bad Boys,Bad Boys,100.0,1995,43
44,Amateur,Amateur,105.0,2016,44
